Key,Council_District,Highest_Offense_Desc,Highest_NIBRS_UCR_Offense_Description,Report_Date,Location,Clearance_Status,Clearance_Date,District,Zip_Code_Crime,Census_Tract,X_Coordinate,Y_Coordinate,Zip_Code_Housing,Populationbelowpovertylevel,Medianhouseholdincome,Non-WhiteNon-HispanicorLatino,HispanicorLatinoofanyrace,Populationwithdisability,Unemployment,Largehouseholds(5+members),Homesaffordabletopeopleearninglessthan$50000,Rentalsaffordabletopeopleearninglessthan$25000,Rent-restrictedunits,HousingChoiceVoucherholders,Medianrent,Medianhomevalue,Percentageofrentalunitsinpoorcondition,Percentchangeinnumberofhousingunits2000-2012,Ownerunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageartist,Ownerunitsaffordabletoaverageartist,Rentalunitsaffordabletoaverageteacher,Ownerunitsaffordabletoaverageteacher,Rentalunitsaffordabletoaveragetechworker,Ownerunitsaffordabletoaveragetechworker,Changeinpercentageofpopulationbelowpoverty2000-2012,Changeinmedianrent2000-2012,Changeinmedianhomevalue2000-2012,Percentageofhomeswithin1/4-mioftransitstop,Averagemonthlytransportationcost,Percentageofhousingandtransportationcoststhatistransportation-related
20152100263,3,AUTO THEFT,Auto Theft,29-Jul-15,1600 POPPY SEED LN,C,4-Aug-15,H,78741,23.12,3130246,10054863,78741,40%,$30183,16%,62%,9%,9%,10%,76%,15%,21%,3%,$835,$120200,0.6%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,$668,43%
20152101831,4,AUTO THEFT,Auto Theft,29-Jul-15,8602 N LAMAR BLVD,N,30-Jul-15,E,78758,18.05,3125501,10102568,78758,24%,$41792,22%,46%,9%,10%,10%,71%,11%,9%,2%,$898,$144200,0.8%,4%,13%,8%,32%,23%,83%,69%,99%,99%,128%,20%,49%,75%,$668,40%
20152100104,7,AUTO THEFT,Auto Theft,29-Jul-15,2701 PENNY LN,N,29-Jul-15,B,78757,18.170000000000002,3117112,10106333,78757,16%,$55156,5%,25%,10%,6%,5%,21%,8%,4%,1%,$895,$253300,0.7%,10%,2%,6%,32%,8%,75%,21%,100%,56%,103%,24%,93%,79%,$590,36%
20155033112,9,AUTO THEFT,Auto Theft,29-Jul-15,715 E 8TH ST,,,G,78701,11,3116884,10070627,78701,20%,$68152,16%,14%,10%,9%,0%,7%,7%,9%,0%,$1590,$338300,0.8%,134%,0%,7%,12%,1%,29%,7%,90%,30%,12%,115%,59%,97%,$433,23%
20152101646,4,AUTO THEFT,Auto Theft,29-Jul-15,10000 N LAMAR BLVD,N,30-Jul-15,E,78758,18.22,3128495,10107901,78758,24%,$41792,22%,46%,9%,10%,10%,71%,11%,9%,2%,$898,$144200,0.8%,4%,13%,8%,32%,23%,83%,69%,99%,99%,128%,20%,49%,75%,$668,40%
20152100316,10,AUTO THEFT,Auto Theft,29-Jul-15,1700 MEADOWBROOK DR,C,29-Jul-15,B,78703,16.04,3104819,10079727,78703,10%,$92606,9%,9%,6%,4%,4%,3%,11%,0%,0%,$1183,$621900,0.4%,1%,0%,8%,25%,0%,51%,2%,92%,13%,7%,65%,104%,67%,$629,25%
20152100892,2,AUTO THEFT,Auto Theft,29-Jul-15,9220 RENTAL CAR LN,O,3-Sep-15,AP,78719,9800,3137383,10051165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20152100432,2,AUTO THEFT,Auto Theft,29-Jul-15,4509 E ST ELMO RD,C,30-Jul-15,F,78744,24.13,3116165,10048034,78744,26%,$41056,9%,77%,8%,9%,23%,93%,7%,24%,8%,$946,$108100,0.7%,35%,13%,6%,22%,33%,81%,87%,100%,100%,89%,26%,44%,63%,$708,40%
20152100400,1,AUTO THEFT,Auto Theft,29-Jul-15,12404 GRANTON CV,N,30-Jul-15,C,78653,18.420000000000002,3153706,10109051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20152101945,4,RAPE,Rape,29-Jul-15,,N,23-Sep-15,E,78753,18.04,,,78753,26%,$39593,20%,60%,10%,9%,16%,78%,14%,17%,4%,$826,$134900,0.7%,19%,8%,11%,40%,24%,89%,75%,100%,98%,128%,26%,40%,59%,$708,44%
